Threshold Error Accuracy
0.761 1.19814 0.252353
0.762 1.19625 0.251693
0.763 1.19462 0.251
0.764 1.1972 0.250213
0.765 1.1923 0.249547
0.766 1.1922 0.24867
0.767 1.18903 0.247953
0.768 1.18779 0.247143
0.769 1.18686 0.246413
0.77 1.18347 0.245693
0.771 1.18434 0.244927
0.772 1.18169 0.244203
0.773 1.1816 0.24345
0.774 1.18147 0.2427
0.775 1.18189 0.242013
0.776 1.18179 0.24124
0.777 1.18304 0.240553
0.778 1.18133 0.2398
0.779 1.18132 0.23903
0.78 1.18142 0.238223
0.781 1.18083 0.237553
0.782 1.18336 0.236797
0.783 1.18169 0.23599
0.784 1.17821 0.2352
0.785 1.17991 0.234427
0.786 1.17807 0.233647
0.787 1.18024 0.232777
0.788 1.17457 0.232023
0.789 1.17429 0.231267
0.79 1.17441 0.230437
0.791 1.17054 0.22964
0.792 1.1715 0.228813
0.793 1.16862 0.22801
0.794 1.1675 0.227213
0.795 1.16434 0.226437
0.796 1.16438 0.22559
0.797 1.16263 0.224913
0.798 1.16252 0.224083
0.799 1.16092 0.223343
0.8 1.16274 0.222523
0.801 1.15801 0.221817
0.802 1.15825 0.221093
0.803 1.15976 0.220327
0.804 1.15901 0.219603
0.805 1.1555 0.2188
0.806 1.15371 0.21807
0.807 1.15391 0.217347
0.808 1.15441 0.216557
0.809 1.15302 0.215723
0.81 1.15222 0.21497
0.811 1.15154 0.21421
0.812 1.15265 0.213307
0.813 1.15198 0.21252
0.814 1.14908 0.211733
0.815 1.14816 0.210977
0.816 1.14723 0.21022
0.817 1.14342 0.209357
0.818 1.14229 0.208617
0.819 1.13795 0.207833
0.82 1.13816 0.207047
0.821 1.13906 0.20615
0.822 1.13827 0.20532
0.823 1.14101 0.20452
0.824 1.14526 0.203667
0.825 1.14677 0.202873
0.826 1.14477 0.202043
0.827 1.14326 0.201127
0.828 1.14329 0.20035
0.829 1.13985 0.19955
0.83 1.14071 0.19861
0.831 1.1385 0.197777
0.832 1.13625 0.196953
0.833 1.1342 0.196057
0.834 1.13441 0.195237
0.835 1.13511 0.194327
0.836 1.13119 0.193507
0.837 1.12939 0.192553
0.838 1.13065 0.191777
0.839 1.12727 0.191053
0.84 1.12425 0.19028
0.841 1.12266 0.189247
0.842 1.12428 0.188387
0.843 1.1229 0.18755
0.844 1.12141 0.186713
0.845 1.12196 0.185813
0.846 1.12085 0.18491
0.847 1.11787 0.184073
0.848 1.11601 0.18326
0.849 1.11301 0.182403
0.85 1.10776 0.181613
0.851 1.10823 0.180667
0.852 1.10994 0.17977
0.853 1.11287 0.178957
0.854 1.11118 0.178093
0.855 1.11219 0.177323
0.856 1.11056 0.176413
0.857 1.11457 0.17543
0.858 1.11782 0.17454
0.859 1.1216 0.173603
0.86 1.12341 0.17266
0.861 1.12693 0.17175
0.862 1.12554 0.170807
0.863 1.1256 0.169883
0.864 1.12543 0.169
0.865 1.12364 0.16809
0.866 1.11795 0.167207
0.867 1.12077 0.166397
0.868 1.12206 0.16555
0.869 1.12029 0.164607
0.87 1.12398 0.163677
0.871 1.12213 0.162723
0.872 1.12546 0.16186
0.873 1.12544 0.160903
0.874 1.12781 0.159897
0.875 1.12777 0.158943
0.876 1.12978 0.157983
0.877 1.12738 0.157057
0.878 1.1207 0.156133
0.879 1.12101 0.155087
0.88 1.12354 0.154033
0.881 1.12804 0.153027
0.882 1.12548 0.152083
0.883 1.12101 0.151083
0.884 1.12505 0.15012
0.885 1.12267 0.149113
0.886 1.12921 0.148143
0.887 1.12957 0.147083
0.888 1.12961 0.14605
0.889 1.1295 0.145033
0.89 1.13415 0.144033
0.891 1.13658 0.143013
0.892 1.13133 0.141983
0.893 1.13041 0.14103
0.894 1.12187 0.140037
0.895 1.12414 0.13899
0.896 1.12289 0.138053
0.897 1.12504 0.13701
0.898 1.11869 0.135977
0.899 1.11482 0.134977
0.9 1.11929 0.133993
0.901 1.11514 0.132983
0.902 1.12262 0.131987
0.903 1.12473 0.130933
0.904 1.12964 0.129893
0.905 1.12586 0.128813
0.906 1.12104 0.127817
0.907 1.11302 0.126813
0.908 1.10835 0.125747
0.909 1.10939 0.124757
0.91 1.1173 0.12374
0.911 1.12239 0.12269
0.912 1.12787 0.121607
0.913 1.12973 0.120557
0.914 1.13202 0.119443
0.915 1.1349 0.118287
0.916 1.12961 0.117193
0.917 1.13852 0.11615
0.918 1.14063 0.11505
0.919 1.14626 0.114007
0.92 1.14348 0.112977
0.921 1.14164 0.111853
0.922 1.14334 0.110767
0.923 1.1331 0.109647
0.924 1.12585 0.108577
0.925 1.13079 0.107547
0.926 1.11915 0.10643
0.927 1.12543 0.105287
0.928 1.12757 0.10408
0.929 1.1285 0.10298
0.93 1.12435 0.101867
0.931 1.12611 0.100693
0.932 1.13281 0.0995133
0.933 1.13028 0.09824
0.934 1.12744 0.09698
0.935 1.12335 0.0958133
0.936 1.11342 0.0945933
0.937 1.10833 0.0934333
0.938 1.10264 0.0922667
0.939 1.08407 0.0910667
0.94 1.08992 0.0898933
0.941 1.0965 0.0886933
0.942 1.08319 0.08744
0.943 1.08954 0.08625
0.944 1.08746 0.0851233
0.945 1.08516 0.08402
0.946 1.08406 0.0827867
0.947 1.0762 0.0814367
0.948 1.08294 0.0801567
0.949 1.08003 0.0789733
0.95 1.06936 0.07767
0.951 1.05731 0.0763933
0.952 1.05529 0.0750467
0.953 1.06038 0.0738
0.954 1.07603 0.07256
0.955 1.07295 0.0712033
0.956 1.05704 0.06993
0.957 1.07333 0.0687133
0.958 1.01954 0.0674033
0.959 1.03711 0.0661133
0.96 1.05678 0.0646933
0.961 1.02363 0.06324
0.962 1.04419 0.0617867
0.963 1.04975 0.06043
0.964 1.00926 0.0589467
0.965 1.02996 0.0575233
0.966 1.03761 0.05601
0.967 1.042 0.0546167
0.968 1.04659 0.0531933
0.969 1.05344 0.0516567
0.97 1.01643 0.0500867
0.971 0.969736 0.0486067
0.972 0.971125 0.0470667
0.973 0.998164 0.0455467
0.974 0.966493 0.04408
0.975 0.996439 0.0424833
0.976 0.99837 0.0407733
0.977 0.957179 0.03916
0.978 0.993833 0.03748
