Threshold Error Accuracy 2B2JPredictHH
0.664000 2.264455 0.411828 0.000440
0.665000 2.265499 0.411125 0.000439
0.666000 2.264913 0.410406 0.000437
0.667000 2.261899 0.409712 0.000434
0.668000 2.258101 0.408996 0.000431
0.669000 2.255147 0.408270 0.000428
0.670000 2.255354 0.407544 0.000427
0.671000 2.256474 0.406809 0.000426
0.672000 2.251886 0.406081 0.000423
0.673000 2.251149 0.405372 0.000421
0.674000 2.249489 0.404685 0.000419
0.675000 2.247202 0.403973 0.000417
0.676000 2.244106 0.403235 0.000414
0.677000 2.239059 0.402543 0.000411
0.678000 2.240772 0.401835 0.000410
0.679000 2.238296 0.401123 0.000407
0.680000 2.233404 0.400403 0.000404
0.681000 2.230838 0.399702 0.000402
0.682000 2.226719 0.398970 0.000399
0.683000 2.221654 0.398233 0.000395
0.684000 2.213940 0.397500 0.000391
0.685000 2.210409 0.396789 0.000388
0.686000 2.208764 0.396052 0.000386
0.687000 2.206293 0.395307 0.000384
0.688000 2.201911 0.394564 0.000381
0.689000 2.200011 0.393840 0.000379
0.690000 2.195552 0.393110 0.000376
0.691000 2.192074 0.392360 0.000373
0.692000 2.189162 0.391640 0.000371
0.693000 2.185473 0.390917 0.000368
